ShouldIBuyTheCar,CarAge,TotalPreviousRepairs,KellyBlueBookRating,CrashRating
TRUE,1,1500,5,5
FALSE,100,,5,5
TRUE,2,1499,,4
FALSE,99,1499,4,
TRUE,3,1498,3,3
FALSE,98,1498,3,3
TRUE,4,1497,2,2
FALSE,97,1497,2,2
TRUE,1,1500,5,5
FALSE,100,1500,5,5
TRUE,2,1499,4,4
FALSE,99,1499,4,4
TRUE,3,1498,3,3
FALSE,98,1498,3,3
TRUE,4,1497,2,2
FALSE,97,1497,2,2
TRUE,1,1500,5,5
FALSE,100,1500,5,5
TRUE,2,1499,4,4
FALSE,99,1499,4,4
TRUE,3,1498,3,3
FALSE,98,1498,3,3
TRUE,4,1497,2,2
FALSE,97,1497,2,2
TRUE,1,1500,5,5
FALSE,100,1500,5,5
TRUE,2,1499,4,4
FALSE,99,1499,4,4
TRUE,3,1498,3,3
FALSE,98,1498,3,3
TRUE,4,1497,2,2
FALSE,97,1497,2,2
TRUE,1,1500,5,5
FALSE,100,1500,5,5
TRUE,2,1499,4,4
FALSE,99,1499,4,4
TRUE,3,1498,3,3
FALSE,98,1498,3,3
TRUE,4,1497,2,2
FALSE,97,1497,2,2
TRUE,1,1500,5,5
FALSE,100,1500,5,5
TRUE,2,1499,4,4
FALSE,99,1499,4,4
TRUE,3,1498,3,3
FALSE,98,1498,3,3
TRUE,4,1497,2,2
FALSE,97,1497,2,2
TRUE,1,1500,5,5
FALSE,100,1500,5,5
TRUE,2,1499,4,4
FALSE,99,1499,4,4
TRUE,3,1498,3,3
FALSE,98,1498,3,3
TRUE,4,1497,2,2
FALSE,97,1497,2,2
TRUE,1,1500,5,5
FALSE,100,1500,5,5
TRUE,2,1499,4,4
FALSE,99,1499,4,4
TRUE,3,1498,3,3
FALSE,98,1498,3,3
TRUE,4,1497,2,2
FALSE,97,1497,2,2
TRUE,1,1500,5,5
FALSE,100,1500,5,5
TRUE,2,1499,4,4
FALSE,99,1499,4,4
TRUE,3,1498,3,3
FALSE,98,1498,3,3
TRUE,4,1497,2,2
FALSE,97,1497,2,2
TRUE,1,1500,5,5
FALSE,100,1500,5,5
TRUE,2,1499,4,4
FALSE,99,1499,4,4
TRUE,3,1498,3,3
FALSE,98,1498,3,3
TRUE,4,1497,2,2
FALSE,97,1497,2,2
TRUE,1,1500,5,5
FALSE,100,1500,5,5
TRUE,2,1499,4,4
FALSE,99,1499,4,4
TRUE,3,1498,3,3
FALSE,98,1498,3,3
TRUE,4,1497,2,2
FALSE,97,1497,2,2
TRUE,1,1500,5,5
FALSE,100,1500,5,5
TRUE,2,1499,4,4
FALSE,99,1499,4,4
TRUE,3,1498,3,3
FALSE,98,1498,3,3
TRUE,4,1497,2,2
FALSE,97,1497,2,2
TRUE,1,1500,5,5
FALSE,100,1500,5,5
TRUE,2,1499,4,4
FALSE,99,1499,4,4
TRUE,3,1498,3,3
FALSE,98,1498,3,3
TRUE,4,1497,2,2
,97,1497,2,2
,1,1500,5,5
,100,1500,5,5
,2,1499,4,4
,99,1499,4,4
,3,1498,3,3
,98,1498,3,3
,4,1497,2,2
,97,1497,2,2
,97,1497,2,2
,1,1500,5,5
,100,1500,5,5
,2,1499,4,4
,99,1499,4,4
,3,1498,3,3
,98,1498,3,3
,4,1497,2,2
,97,1497,2,2
,97,1497,2,2
,1,1500,5,5
,100,1500,5,5
,2,1499,4,4
,99,1499,4,4
,3,1498,3,3
,98,1498,3,3
,4,1497,2,2
,97,1497,2,2
,97,1497,2,2
,1,1500,5,5
,100,1500,5,5
,2,1499,4,4
,99,1499,4,4
,3,1498,3,3
,98,1498,3,3
,4,1497,2,2
,97,1497,2,2
,97,1497,2,2
,1,1500,5,5
,100,1500,5,5
,2,1499,4,4
,99,1499,4,4
,3,1498,3,3
,98,1498,3,3
,4,1497,2,2
,97,1497,2,2
,97,1497,2,2
,1,1500,5,5
,100,1500,5,5
,2,1499,4,4
,99,1499,4,4
,3,1498,3,3
,98,1498,3,3
,4,1497,2,2
,97,1497,2,2
,97,1497,2,2
,1,1500,5,5
,100,1500,5,5
,2,1499,4,4
,99,1499,4,4
,3,1498,3,3
,98,1498,3,3
,4,1497,2,2
,97,1497,2,2
,97,1497,2,2
,1,1500,5,5
,100,1500,5,5
,2,1499,4,4
,99,1499,4,4
,3,1498,3,3
,98,1498,3,3
,4,1497,2,2
,97,1497,2,2
,97,1497,2,2
,1,1500,5,5
,100,1500,5,5
,2,1499,4,4
,99,1499,4,4
,3,1498,3,3
,98,1498,3,3
,4,1497,2,2
,97,1497,2,2
,97,1497,2,2
,1,1500,5,5
,100,1500,5,5
,2,1499,4,4
,99,1499,4,4
,3,1498,3,3
,98,1498,3,3
,4,1497,2,2
,97,1497,2,2
,97,1497,2,2
,1,1500,5,5
,100,1500,5,5
,2,1499,4,4
,99,1499,4,4
,3,1498,3,3
,98,1498,3,3
,4,1497,2,2
,97,1497,2,2
